nbSyll;pron;origin;warning;remarques;POS;lineId;pageId;motVedette;hwd;pronSampa;pronIpa;pronPos
2;ăddĭʹct;L.;;;v.;43.0;21;addict;addict;@ d I k t;ədɪkt;verb
4;ăddĭʹtion;L.;;;n.;45.0;21;addition;addition;@ d I S @ n;ədɪʃən;noun
5;ăddĭʹtional;;;;a.;46.0;21;additional;additional;@ d I S @ n @ l;ədɪʃənəl;adjective
2;ăʹddle;;;;a.;47.0;21;addle;addle;{ 4 @ l;æɾəl;adjective
2;ăddrĕʹſs;F.;;;n.;48.0;21;address;address;{ d r\ E s;ædɹɛs;noun
3;ăʹdĕquāte;L.;;;a.;51.0;21;adequate;adequate;{ 4 @ k w @ t;æɾəkwət;adjective
2;ădhēre;L.;nbSyll>1 et pas d'accent tonic;;v.;54.0;21;adhere;adhere;@ d h I r\;ədhɪɹ;verb
3;ădhēʹrĕnce;L.;;;n.;55.0;21;adherence;adherence;@ d h I r\ @ n s;ədhɪɹəns;noun
3;ădhēʹrent;L.;;;n.;56.0;21;adherent;adherent;@ d h I r\ @ n t;ədhɪɹənt;noun
3;ădjāʹcent;L.;;;a.;58.0;21;adjacent;adjacent;@ dZ eI s @ n t;ə??sənt;adjective
3;ăʹdjĕctive;L.;;;n.;59.0;21;adjective;adjective;{ dZ i k t i v;æ?iktiv;noun
2;adĭeuʹ;F.;;;p.;60.0;21;adieu;adieu;@ d u;ədu;pronoun
2;ădjoiʹn;L.;;;v.;61.0;21;adjoin;adjoin;@ dZ OI n;ə??n;verb
3;ădj_o_ŭʹrnment;F.;;;n.;62.0;21;adjournment;adjournment;@ dZ 3:r n m @ n t;ə?ɜ:rnmənt;noun
2;ădjŭʹdge;L.;;;v.;63.0;21;adjudge;adjudge;@ dZ V dZ;ə?ʌ?;verb
6;ădjūdĭcāʹtion;L.;;;n.;64.0;21;adjudication;adjudication;@ dZ u 4 @ k eI S @ n;ə?uɾək?ʃən;noun
2;ăʹdjŭnct;L.;;;n.;65.0;21;adjunct;adjunct;{ dZ V N k t;æ?ʌŋkt;noun
2;ădjŭʹſt;F.;;;v.;67.0;21;adjust;adjust;@ dZ V s t;ə?ʌst;verb
3;ăʹdjūtant;L.;;;n.;68.0;21;adjutant;adjutant;{ dZ @ t @ n t;æ?ətənt;noun
4;ădmĭʹnĭſt_e_r;L.;;;v.;69.0;21;administer;administer;@ d m I n @ s t 3:r;ədmɪnəstɜ:r;verb
6;ădmĭnĭſtrātion;L.;nbSyll>1 et pas d'accent tonic;;n.;70.0;21;administration;administration;{ d m I n i s t r\ eI S @ n;ædmɪnistɹ?ʃən;noun
5;ădmĭnĭſtrāʹtor;;;;n.;71.0;21;administrator;administrator;@ d m I n @ s t r\ eI 4 3:r;ədmɪnəstɹ?ɾɜ:r;noun
3;ăʹdmĭrăl;L.;;;n.;73.0;21;admiral;admiral;{ d m 3:r @ l;ædmɜ:rəl;noun
4;ăʹdmĭrălty;;;;n.;2.0;22;admiralty;admiralty;{ d m 3:r @ l t i:;ædmɜ:rəltiː;noun
5;ădmĭrāʹtion;L.;;;n.;3.0;22;admiration;admiration;{ d m 3:r eI S @ n;ædmɜ:r?ʃən;noun
2;ădmīʹre;L.;;;v.;4.0;22;admire;admire;{ d m aI r\;ædm?ɹ;verb
3;ădmĭʹttănce;L.;;;n.;5.0;22;admittance;admittance;@ d m I t @ n s;ədmɪtəns;noun
2;ădmĭʹt;L.;;;v.;6.0;22;admit;admit;@ d m I t;ədmɪt;verb
3;ădmŏʹnĭſh;L.;;;v.;7.0;22;admonish;admonish;{ d m A n i S;ædmɑniʃ;verb
5;ădmŏnĭʹtion;L.;;;n.;8.0;22;admonition;admonition;{ d m @ n I S @ n;ædmənɪʃən;noun
4;ădŏlĕʹſcĕnce;L.;;;n.;9.0;22;adolescence;adolescence;{ 4 @ l E s @ n s;æɾəlɛsəns;noun
4;ădŏʹption;L.;;;n.;10.0;22;adoption;adoption;@ d A p S @ n;ədɑpʃən;noun
4;ădōʹrable;;;;a.;11.0;22;adorable;adorable;@ d O: r\ @ b @ l;ədOːɹəbəl;adjective
2;ădōʹre;L.;;;v.;12.0;22;adore;adore;@ d O: r\;ədOːɹ;verb
2;ădŏʹrn;L.;;;v.;13.0;22;adorn;adorn;@ d O: r\ n;ədOːɹn;verb
2;ădroiʹt;F.;;;a.;14.0;22;adroit;adroit;@ d r\ OI t;ədɹ?t;adjective
2;ădvăʹnce;F.;;;v.;16.0;22;advance;advance;@ d v { n s;ədvæns;verb
3;ădvăʹnc_e_ment;F.;;;n.;17.0;22;advancement;advancement;@ d v { n s m @ n t;ədvænsmənt;noun
3;ădvăʹntage;F.;;;n.;18.0;22;advantage;advantage;{ d v { n t i dZ;ædvænti?;noun
2;ăʹdvĕnt;L.;;;n.;19.0;22;advent;advent;{ d v E n t;ædvɛnt;noun
3;ădvĕʹntŭre;F.;;;n.;21.0;22;adventure;adventure;{ d v E n tS 3:r;ædvɛn?ɜ:r;noun
4;ădvĕʹntŭr_o_us;;;;a.;22.0;22;adventurous;adventurous;{ d v E n tS 3:r @ s;ædvɛn?ɜ:rəs;adjective
2;ăʹdverb;L.;;;n.;23.0;22;adverb;adverb;{ d v 3:r b;ædvɜ:rb;noun
4;ăʹdvĕrſăry;L.;;;n.;24.0;22;adversary;adversary;{ d v 3:r s E r\ i:;ædvɜ:rsɛɹiː;noun
2;ăʹdvĕrſe;L.;;;a.;25.0;22;adverse;adverse;{ d v 3:r s;ædvɜ:rs;adjective
4;ădvĕʹrſity;L.;;;n.;26.0;22;adversity;adversity;{ d v 3:r s i 4 i:;ædvɜ:rsiɾiː;noun
3;ădvĕrtĭʹſe;L.;;;v.;29.0;22;advertise;advertise;{ d v 3:r t aI z;ædvɜ:rt?z;verb
2;ădvīʹce;F.;;;n.;30.0;22;advice;advice;{ d v aI s;ædv?s;noun
2;ădvīʹſe;;;;v.;31.0;22;advise;advise;{ d v aI z;ædv?z;verb
5;ădūlāʹtion;L.;;;n.;32.0;22;adulation;adulation;{ dZ @ l eI S @ n;æ?əl?ʃən;noun
2;adŭʹlt;L.;;;a.;34.0;22;adult;adult;@ d V l t;ədʌlt;adjective
4;adŭʹlte˘rāte;L.;;;v.;35.0;22;adulterate;adulterate;@ d V l t 3:r eI t;ədʌltɜ:r?t;verb
4;adŭʹlte˘rer;;;;n.;36.0;22;adulterer;adulterer;@ d V l t 3:r 3:r;ədʌltɜ:rɜ:r;noun
4;adŭʹlte˘ry;L.;;;n.;38.0;22;adultery;adultery;@ d V l t 3:r i:;ədʌltɜ:riː;noun
3;ăʹdvŏcāte;L.;;;n.;39.0;22;advocate;advocate;{ d v @ k @ t;ædvəkət;noun
4;āe˘ʹrĭal;G.;;;a.;46.0;22;aerial;aerial;E r\ i: @ l;ɛɹiːəl;adjective
2;ăffaiʹr;F.;;;n.;49.0;22;affair;affair;@ f E r\;əfɛɹ;noun
2;affe˘ʹct;L.;;;v.;50.0;22;affect;affect;@ f E k t;əfɛkt;verb
5;ăffĕctāʹtion;L.;;;n.;51.0;22;affectation;affectation;{ f E k t eI S @ n;æfɛkt?ʃən;noun
3;ăffĕʹcted;;;;a.;52.0;22;affected;affected;@ f E k t @ d;əfɛktəd;adjective
4;ăffĕʹction;L.;;;n.;53.0;22;affection;affection;@ f E k S @ n;əfɛkʃən;noun
5;ăffĕʹctionāte;;;;a.;54.0;22;affectionate;affectionate;@ f E k S @ n @ t;əfɛkʃənət;adjective
4;ăffĭdāʹvit;;;;n.;57.0;22;affidavit;affidavit;{ f @ d eI v @ t;æfəd?vət;noun
4;ăffĭʹnĭʹty;L.;;;n.;58.0;22;affinity;affinity;@ f I n @ 4 i:;əfɪnəɾiː;noun
2;ăffĭrm;L.;nbSyll>1 et pas d'accent tonic;;v.;59.0;22;affirm;affirm;@ f 3:r m;əfɜ:rm;verb
5;ăffĭrmāʹtion;L.;;;n.;60.0;22;affirmation;affirmation;{ f 3:r m eI S @ n;æfɜ:rm?ʃən;noun
4;ăffĭʹrmătive;L.;;;a.;61.0;22;affirmative;affirmative;@ f 3:r m @ 4 i v;əfɜ:rməɾiv;adjective
2;affĭʹx;L.;;;v.;62.0;22;affix;affix;{ f i k s;æfiks;verb
2;ăfflĭʹct;L.;;;v.;64.0;22;afflict;afflict;@ f l I k t;əflɪkt;verb
4;ăfflĭʹction;L.;;;n.;65.0;22;affliction;affliction;@ f l I k S @ n;əflɪkʃən;noun
3;ăfflūĕnce;L.;nbSyll>1 et pas d'accent tonic;;n.;67.0;22;affluence;affluence;{ f l u @ n s;æfluəns;noun
3;ăʹfflūĕnt;L.;;;a.;68.0;22;affluent;affluent;{ f l u @ n t;æfluənt;adjective
2;ăffoʹrd;;;;v.;70.0;22;afford;afford;@ f O: r\ d;əfOːɹd;verb
3;ăʹfrĭcā;;;;n.;73.0;22;africa;africa;{ f r\ @ k @;æfɹəkə;noun
2;ăffrŏʹnt;F.;;;v.;3.0;23;affront;affront;@ f r\ V n t;əfɹʌnt;verb
1;ăft;;;;p.;6.0;23;aft;aft;{ f t;æft;pronoun
2;ăʹft_e_r;;;;p.;7.0;23;after;after;{ f t 3:r;æftɜ:r;pronoun
3;ăfternooʹn;;;;n.;8.0;23;afternoon;afternoon;{ f t 3:r n u n;æftɜ:rnun;noun
2;āʹgā;;;;n.;9.0;23;aga;aga;A g @;ɑgə;noun
2;ăʹgate;G.;;;n.;11.0;23;agate;agate;{ g @ t;ægət;noun
1;āge;;;;n.;12.0;23;age;age;eI dZ;??;noun
3;āʹge˘ncy;L.;;;n.;13.0;23;agency;agency;eI dZ @ n s i:;??ənsiː;noun
2;āʹgent;L.;;;n.;14.0;23;agent;agent;eI dZ @ n t;??ənt;noun
4;ăgglŏʹmĕrāte;L.;;;v.;15.0;23;agglomerate;agglomerate;@ g l A m 3:r eI t;əglɑmɜ:r?t;verb
4;ăgglūʹtĭnāte;L.;;;v.;16.0;23;agglutinate;agglutinate;@ g l u t i n eI t;əglutin?t;verb
3;ăʹggrăndīze;F.;;;v.;17.0;23;aggrandize;aggrandize;@ g r\ { n d aI z;əgɹænd?z;verb
3;ăʹggrăvāte;L.;;;v.;18.0;23;aggravate;aggravate;{ g r\ @ v eI t;ægɹəv?t;verb
5;ăggrăvāʹtion;L.;;;n.;19.0;23;aggravation;aggravation;{ g r\ @ v eI S @ n;ægɹəv?ʃən;noun
3;ăʹggrĕgāte;L.;;;v.;20.0;23;aggregate;aggregate;{ g r\ @ g @ t;ægɹəgət;verb
2;ăggrĕʹſs;L.;;;v.;21.0;23;aggress;aggress;@ g r\ E s;əgɹɛs;verb
3;ăggrĕʹſſor;;;;n.;22.0;23;aggressor;aggressor;@ g r\ E s 3:r;əgɹɛsɜ:r;noun
2;ăggrieʹve;;;;n.;23.0;23;aggrieve;aggrieve;@ g r\ i: v;əgɹiːv;noun
2;ăʹgĭle;L.;;;a.;24.0;23;agile;agile;{ dZ @ l;æ?əl;adjective
4;ăgĭʹlĭty;L.;;;n.;25.0;23;agility;agility;@ dZ I l @ 4 i:;ə?ɪləɾiː;noun
3;ăʹgĭtāte;L.;;;v.;28.0;23;agitate;agitate;{ dZ @ t eI t;æ?ət?t;verb
5;ăgĭtāʹtion;L.;;;n.;29.0;23;agitation;agitation;{ dZ @ t eI S @ n;æ?ət?ʃən;noun
4;ăgĭtāʹtor;L.;;;n.;30.0;23;agitator;agitator;{ dZ @ t eI 4 3:r;æ?ət?ɾɜ:r;noun
3;ăʹgŏny;G.;;;n.;33.0;23;agony;agony;{ g @ n i:;ægəniː;noun
2;ăgreeʹ;F.;;;v.;34.0;23;agree;agree;@ g r\ i:;əgɹiː;verb
4;ăgreeʹable;F.;;;a.;35.0;23;agreeable;agreeable;@ g r\ i: @ b @ l;əgɹiːəbəl;adjective
3;ăgreeʹment;;;;n.;36.0;23;agreement;agreement;@ g r\ i: m @ n t;əgɹiːmənt;noun
4;ăʹgrĭcŭltŭre;L.;;;n.;37.0;23;agriculture;agriculture;{ g r\ i k V l tS 3:r;ægɹikʌl?ɜ:r;noun
1;aid;;;;v.;42.0;23;aid;aid;eI d;?d;verb
1;ail;;;;v.;43.0;23;ail;ail;eI l;?l;verb
1;aim;;;;v.;44.0;23;aim;aim;eI m;?m;verb
1;air;;;;n.;45.0;23;air;air;E r\;ɛɹ;noun
2;aiʹry;;;pas de {POS} indiquée dans le dictionnaire.;;47.0;23;airy;airy;E r\ i:;ɛɹiː;?
4;ălăbăʹſt_e_r;;;;n.;48.0;23;alabaster;alabaster;{ l @ b { s t 3:r;æləbæstɜ:r;noun
4;alăʹcrĭty;;;;n.;49.0;23;alacrity;alacrity;@ l { k r\ @ 4 i:;əlækɹəɾiː;noun
2;alăʹrm;F.;;;n.;51.0;23;alarm;alarm;@ l A r\ m;əlɑɹm;noun
3;ăʹlbĭon;L.;;;n.;53.0;23;albion;albion;{ l b i: @ n;ælbiːən;noun
2;ăʹlcōve;F.;;;n.;60.0;23;alcove;alcove;{ l k @U v;ælkoʊv;noun
2;ăʹld_e_r;;;;n.;61.0;23;alder;alder;O: l d 3:r;Oːldɜ:r;noun
3;ăʹldĕrmăn;;;;n.;62.0;23;alderman;alderman;O: l d 3:r m @ n;Oːldɜ:rmən;noun
1;āle;;;;n.;63.0;23;ale;ale;eI l;?l;noun
4;alexăʹndrĭne;;;;n.;69.0;23;alexandrine;alexandrine;{ l @ g z { n d r\ i: n;æləgzændɹiːn;noun
3;ăʹlgĕbrā;;;;n.;71.0;23;algebra;algebra;{ l dZ @ b r\ @;æl?əbɹə;noun
3;ăʹlgorĭthm;;;;n.;73.0;23;algorithm;algorithm;{ l g 3:r I D @ m;ælgɜ:rɪðəm;noun
3;ăʹlĭas;L.;;;p.;3.0;24;alias;alias;eI l i: @ s;?liːəs;pronoun
3;ăʹlĭen;L.;;;n.;4.0;24;alien;alien;eI l i: @ n;?liːən;noun
4;ăʹlĭenāte;;;;v.;5.0;24;alienate;alienate;eI l j @ n eI t;?ljən?t;verb
6;ălĭenāʹtion;;;;n.;6.0;24;alienation;alienation;eI l i: @ n eI S @ n;?liːən?ʃən;noun
5;ălĭmĕʹntary;;;;a.;8.0;24;alimentary;alimentary;{ l @ m E n t 3:r i:;æləmɛntɜ:riː;adjective
4;ăʹlĭmŏny;;;;n.;9.0;24;alimony;alimony;{ l @ m @U n i:;æləmoʊniː;noun
3;ăʹlkăhĕſt;;;;n.;13.0;24;alkahest;alkahest;{ l k @ h E s t;ælkəhɛst;noun
2;ăllaʹy;F.;;;n.;15.0;24;allay;allay;@ l eI;əl?;noun
5;ăllēgāʹtion;L.;;;n.;17.0;24;allegation;allegation;{ l @ g eI S @ n;æləg?ʃən;noun
4;ăllĕʹgĭ_a_nce;L.;;;n.;18.0;24;allegiance;allegiance;@ l i: dZ @ n s;əliː?əns;noun
5;ăllēgŏʹrical;G.;;;a.;19.0;24;allegorical;allegorical;{ l @ g O: r\ @ k @ l;æləgOːɹəkəl;adjective
4;ăʹllĕgŏry;G.;;;n.;21.0;24;allegory;allegory;{ l @ g O: r\ i:;æləgOːɹiː;noun
3;ăllēʹgro;;;;n.;22.0;24;allegro;allegro;@ l E g r\ @U;əlɛgɹoʊ;noun
4;ăllĕʹvĭāte;L.;;;v.;23.0;24;alleviate;alleviate;@ l i: v i: eI t;əliːviː?t;verb
2;ăʹlley;F.;;;n.;24.0;24;alley;alley;{ l i:;æliː;noun
3;ăllīʹance;F.;;;n.;25.0;24;alliance;alliance;@ l aI @ n s;əl?əns;noun
2;ăllīʹ_e_s;F.;;;n.;26.0;24;allies;allies;{ l aI z;æl?z;noun
4;ăllĭgāʹtor;;;;n.;28.0;24;alligator;alligator;{ l @ g eI 4 3:r;æləg?ɾɜ:r;noun
2;allŏʹt;;;;v.;31.0;24;allot;allot;@ l A t;əlɑt;verb
2;allȯẇ;F.;nbSyll>1 et pas d'accent tonic;;v.;32.0;24;allow;allow;@ l aU;əl?;verb
3;allȯẇănce;;nbSyll>1 et pas d'accent tonic;;n.;33.0;24;allowance;allowance;@ l aU @ n s;əl?əns;noun
2;allūʹde;L.;;;v.;34.0;24;allude;allude;@ l u d;əlud;verb
2;ăʹllŭm;;;;n.;35.0;24;allum;allum;{ l @ m;æləm;noun
