hwd;pronSampa;ipa
polygon;p A l i g A n;pɑligɑn
frantz;f r\ { n t s;fɹænts
vista's;v I s t @ z;vɪstəz
libration;l aI b r\ eI S @ n;l?bɹ?ʃən
polaroids;p @U l 3:r OI d z;poʊlɜ:r?dz
ringeisen;r\ I N g aI s @ n;ɹɪŋg?sən
craventy's;k r\ eI v @ n t i: z;kɹ?vəntiːz
isolate;aI s @ l eI t;?səl?t
absorbency;@ b z O: r\ b @ n s i:;əbzOːɹbənsiː
composer's;k @ m p @U z 3:r z;kəmpoʊzɜ:rz
bhatia(2);b A t j @;bɑtjə
lacourse;l @ k U r\ s;ləkʊɹs
centigrade;s E n t @ g r\ eI d;sɛntəgɹ?d
manzi;m { n z i:;mænziː
that(2);D @ t;ðət
coincidentally;k @U I n s i d E n t @ l i:;koʊɪnsidɛntəliː
rivaling(2);r\ aI v l i N;ɹ?vliŋ
chronically(2);k r\ A n i k l i:;kɹɑnikliː
pastula;p A s t u l @;pɑstulə
transformational;t r\ { n s f 3:r m eI S @ n @ l;tɹænsfɜ:rm?ʃənəl
trusted;t r\ V s t i d;tɹʌstid
ravenswood;r\ eI v @ n z w U d;ɹ?vənzwʊd
snuffs;s n V f s;snʌfs
bergschneider;b 3:r g S n aI 4 3:r;bɜ:rgʃn?ɾɜ:r
multitude(2);m V l t @ t j u d;mʌltətjud
dimenaci;d I m E @ tS i:;dɪmɛə?iː
cabernets(2);k { b 3:r n eI z;kæbɜ:rn?z
stiers;s t aI 3:r z;st?ɜ:rz
marse;m A r\ s;mɑɹs
pfeifer;f aI f 3:r;f?fɜ:r
countercharge;k aU n t 3:r tS A r\ dZ;k?ntɜ:r?ɑɹ?
movingly;m u v i N l i:;muviŋliː
precise;p r\ i s aI s;pɹis?s
scythian;s I T i: @ n;sɪθiːən
bertolino;b 3:r 4 @U l i: n @U;bɜ:rɾoʊliːnoʊ
koman;k @U m @ n;koʊmən
pungent;p V n dZ @ n t;pʌn?ənt
eos;i: A s;iːɑs
interrogate;i n t E r\ @ g eI t;intɛɹəg?t
troxell;t r\ A k s @ l;tɹɑksəl
braver;b r\ eI v 3:r;bɹ?vɜ:r
paszkiewicz;p A S k @ v i tS;pɑʃkəvi?
hours;aU 3:r z;?ɜ:rz
malinski;m @ l I n s k i:;məlɪnskiː
zwerdling;z w 3:r d l i N;zwɜ:rdliŋ
scarbro;s k A r\ b r\ @U;skɑɹbɹoʊ
oversewing;@U v 3:r s @U i N;oʊvɜ:rsoʊiŋ
correale;k O: r\ i: @ l;kOːɹiːəl
falcons;f { l k @ n z;fælkənz
vise;v aI s;v?s
dollop;d A l @ p;dɑləp
olson's;@U l s @ n z;oʊlsənz
hackneyed;h { k n i: d;hækniːd
bidco;b I d k @U;bɪdkoʊ
lipstick;l I p s t I k;lɪpstɪk
nations';n eI S @ n z;n?ʃənz
maston;m { s t @ n;mæstən
kirshenbaum;k 3:r S @ n b aU m;kɜ:rʃənb?m
traugott;t r\ aU g @ t;tɹ?gət
carrano;k A r\ A n @U;kɑɹɑnoʊ
rockafellow;r\ A k @ f E l @U;ɹɑkəfɛloʊ
doan;d @U n;doʊn
definitely;d E f @ n @ t l i:;dɛfənətliː
kept;k E p t;kɛpt
fjelstad;f j E l s t @ d;fjɛlstəd
refuseniks;r\ i f j u z n i k s;ɹifjuzniks
sima;s i: m @;siːmə
winstead;w I n s t E d;wɪnstɛd
donohue's;d A n @ h j u z;dɑnəhjuz
naturalists(4);n { tS r\ @ l i s s;næ?ɹəliss
yatsko;j A t s k @U;jɑtskoʊ
lemarr;l E m 3:r;lɛmɜ:r
osage;@U s eI dZ;oʊs??
chivers;tS aI v 3:r z;??vɜ:rz
setzler;s E t s l 3:r;sɛtslɜ:r
daimler's;d eI m l 3:r z;d?mlɜ:rz
statistics;s t @ t I s t i k s;stətɪstiks
dependeth;d i p E n d i T;dipɛndiθ
sebastiane;s @ b { s t i: E n;səbæstiːɛn
talcum;t { l k @ m;tælkəm
teeters;t i: 4 3:r z;tiːɾɜ:rz
paterson;p { 4 3:r s @ n;pæɾɜ:rsən
sebring;s i: b r\ i N;siːbɹiŋ
establishes;i s t { b l i S i z;istæbliʃiz
govpx;g V v p i: E k s;gʌvpiːɛks
welcomes;w E l k @ m z;wɛlkəmz
refreshments;r\ @ f r\ E S m @ n t s;ɹəfɹɛʃmənts
liza;l i: z @;liːzə
kachigian(2);k @ S I g i: @ n;kəʃɪgiːən
windmere's;w I n d m I r\ z;wɪndmɪɹz
dellinger;d E l i N 3:r;dɛliŋɜ:r
osaka;@U s A k @;oʊsɑkə
eichler(2);aI k l 3:r;?klɜ:r
letup;l E t V p;lɛtʌp
wojtkowski;w OI t k aU s k i:;w?tk?skiː
halladay;h { l @ d eI;hæləd?
streich;s t r\ aI k;stɹ?k
labow;l { b @U;læboʊ
rieders;r\ i: 4 3:r z;ɹiːɾɜ:rz
feedlot;f i: d l A t;fiːdlɑt
elevating;E l @ v eI 4 i N;ɛləv?ɾiŋ
jaw;dZ O:;?Oː
tartan;t A r\ t @ n;tɑɹtən
viramontes;v i r\ A m @U n t E s;viɹɑmoʊntɛs
bikin;b I k i n;bɪkin
clanging;k l { N i N;klæŋiŋ
minstrels;m I n s t r\ @ l z;mɪnstɹəlz
dispensary;d i s p E n s 3:r i:;dispɛnsɜ:riː
osterholt;A s t 3:r h @U l t;ɑstɜ:rhoʊlt
consumerists(3);k @ n s u m 3:r i s;kənsumɜ:ris
drainage(2);d r\ eI n i dZ;dɹ?ni?
squalor;s k w A l 3:r;skwɑlɜ:r
cougars;k u g 3:r z;kugɜ:rz
spalvins;s p { l v i n z;spælvinz
homogeneity;h A m @ dZ @ n i: @ 4 i:;hɑmə?əniːəɾiː
gemfibrozil;g E m f i b r\ @U z @ l;gɛmfibɹoʊzəl
seagraves;s i: g r\ eI v z;siːgɹ?vz
carinii;k E r\ i: n i:;kɛɹiːniː
doutt;d aU t;d?t
adulterate;@ d V l t 3:r eI t;ədʌltɜ:r?t
antony;{ n t @ n i:;æntəniː
ettlinger;E t l i N 3:r;ɛtliŋɜ:r
mnemonic(2);n i: m A n i k;niːmɑnik
bellhop;b E l h A p;bɛlhɑp
enhancements;E n h { n s m @ n t s;ɛnhænsmənts
tenderloin;t E n d 3:r l OI n;tɛndɜ:rl?n
scavenge;s k { v @ n dZ;skævən?
alexandre;{ l i k s A n d 3:r;æliksɑndɜ:r
barner;b A r\ n 3:r;bɑɹnɜ:r
bagdasarian;b { g d @ s E r\ i: @ n;bægdəsɛɹiːən
selkin;s E l k i n;sɛlkin
binnacle;b I n @ k @ l;bɪnəkəl
non;n A n;nɑn
cato;k eI 4 @U;k?ɾoʊ
loral;l O: r\ @ l;lOːɹəl
absentees;{ b s @ n t i: z;æbsəntiːz
nickolas;n I k @ l @ z;nɪkələz
arlauskas;A r\ l O: s k @ s;ɑɹlOːskəs
denunciation;d i n V n s i: eI S @ n;dinʌnsiː?ʃən
gebbie;dZ E b i:;?ɛbiː
howitt;h aU i t;h?it
porcupines;p O: r\ k j @ p aI n z;pOːɹkjəp?nz
gospel(2);g O: s p @ l;gOːspəl
petard(2);p @ t A d;pətɑd
charities(2);tS E r\ i 4 i: z;?ɛɹiɾiːz
vanbuskirk;v { n b V s k 3:r k;vænbʌskɜ:rk
rudolf;r\ u d A l f;ɹudɑlf
ceccarelli;tS E k 3:r E l i:;?ɛkɜ:rɛliː
tents;t E n t s;tɛnts
wrangling;r\ { N g @ l i N;ɹæŋgəliŋ
behaviorists(3);b i h eI v j 3:r i s;bih?vjɜ:ris
snively;s n aI v l i:;sn?vliː
statesman;s t eI t s m @ n;st?tsmən
elizabethtown;@ l I z @ b E T t aU n;əlɪzəbɛθt?n
gidget;g I dZ @ t;gɪ?ət
vaguine;v @ g w i: n;vəgwiːn
greece;g r\ i: s;gɹiːs
campanelli;k A m p A n E l i:;kɑmpɑnɛliː
niles;n aI l z;n?lz
radicals;r\ { 4 @ k @ l z;ɹæɾəkəlz
horseback;h O: r\ s b { k;hOːɹsbæk
berber;b 3:r b 3:r;bɜ:rbɜ:r
mazer;m eI z 3:r;m?zɜ:r
lustful;l V s t f @ l;lʌstfəl
thanh;T { n;θæn
scary;s k E r\ i:;skɛɹiː
scholar's;s k A l 3:r z;skɑlɜ:rz
auditing;A 4 @ 4 i N;ɑɾəɾiŋ
lungs;l V N z;lʌŋz
begin-parens;b i g I n p 3:r E n z;bigɪnpɜ:rɛnz
wow;w aU;w?
poveromo;p @U v E r\ @U m @U;poʊvɛɹoʊmoʊ
pastime;p { s t aI m;pæst?m
adhesives(2);@ d h i: s i v z;ədhiːsivz
clawson;k l O: s @ n;klOːsən
kenyans;k E n j @ n z;kɛnjənz
alzheimer's(2);A t s z h aI m 3:r z;ɑtszh?mɜ:rz
aus;aU z;?z
nania;n A n i: @;nɑniːə
mortier;m O: r\ 4 i: 3:r;mOːɹɾiːɜ:r
cannibalizing;k { n @ b @ l aI z i N;kænəbəl?ziŋ
millard's;m I l 3:r d z;mɪlɜ:rdz
pursley;p 3:r s l i:;pɜ:rsliː
bastions;b { s tS @ n z;bæs?ənz
gonsalez;g @U n s A l E z;goʊnsɑlɛz
fisted;f I s t i d;fɪstid
mormon;m O: r\ m @ n;mOːɹmən
koyo;k OI @U;k?oʊ
allderdice;A l d 3:r d aI s;ɑldɜ:rd?s
manicure;m { n i k j 3:r;mænikjɜ:r
rochefort(3);r\ A k f 3:r t;ɹɑkfɜ:rt
fertility;f 3:r t I l @ 4 i:;fɜ:rtɪləɾiː
arkadelphia;A r\ k @ d E l f i: @;ɑɹkədɛlfiːə
malnutrition;m { l n u t r\ I S @ n;mælnutɹɪʃən
deactivate;d i: { k t i v eI t;diːæktiv?t
frerking;f r\ 3:r k i N;fɹɜ:rkiŋ
tyo;t aI @U;t?oʊ
horizontally;h O: r\ i z A n t @ l i:;hOːɹizɑntəliː
stegemeier;s t E g m aI r\;stɛgm?ɹ
jews;dZ u z;?uz
dorland;d O: r\ l @ n d;dOːɹlənd
jolting;dZ @U l t i N;?oʊltiŋ
hatchery;h { tS 3:r i:;hæ?ɜ:riː
goyim;g OI i m;g?im
modarressi;m @U d A r\ E s i:;moʊdɑɹɛsiː
nellette;n E l E t;nɛlɛt
wrangling(2);r\ { N g l i N;ɹæŋgliŋ
coufal;k u f { l;kufæl
tyree;t aI r\ i:;t?ɹiː
duchy;d V tS i:;dʌ?iː
wessler;w E s l 3:r;wɛslɜ:r
retroactively;r\ E t r\ @U { k t i v l i:;ɹɛtɹoʊæktivliː
schering's;S E r\ i N z;ʃɛɹiŋz
riojas;r\ i: @U j A z;ɹiːoʊjɑz
heggen;h E g @ n;hɛgən
liaison;l i: eI z A n;liː?zɑn
covering;k V v 3:r i N;kʌvɜ:riŋ
actinidia;{ k t i n I 4 i: @;æktinɪɾiːə
rumbling's;r\ V m b @ l i N z;ɹʌmbəliŋz
intuitive;i n t u @ 4 i v;intuəɾiv
unpayable;@ n p eI @ b @ l;ənp?əbəl
castellanos;k A s t eI l A n @U z;kɑst?lɑnoʊz
mariette;m E r\ i: E t;mɛɹiːɛt
czarist;z A r\ i s t;zɑɹist
vadas;v A 4 A z;vɑɾɑz
dudeck's;d u 4 E k s;duɾɛks
selders;s E l d 3:r z;sɛldɜ:rz
seater;s i: 4 3:r;siːɾɜ:r
databases;d eI 4 @ b eI s i z;d?ɾəb?siz
chun;tS V n;?ʌn
karras;k { r\ @ z;kæɹəz
procession;p r\ @ s E S @ n;pɹəsɛʃən
girls;g 3:r l z;gɜ:rlz
deployment;d i p l OI m @ n t;dipl?mənt
archivists;A r\ k @ v i s t s;ɑɹkəvists
milkens';m I l k @ n z;mɪlkənz
hammett;h { m i t;hæmit
kemler;k E m l 3:r;kɛmlɜ:r
bartek;b A r\ t E k;bɑɹtɛk
hesketh;h E s k i T;hɛskiθ
constantino;k A n s t @ n t i: n @U;kɑnstəntiːnoʊ
isotopic;aI s @ t A p i k;?sətɑpik
bureaucrats(2);b j U r\ @U k r\ { t s;bjʊɹoʊkɹæts
harrer;h A r\ 3:r;hɑɹɜ:r
collectibility;k @ l E k t i b I l i 4 i:;kəlɛktibɪliɾiː
yassir(2);j A s i r\;jɑsiɹ
wyss;w I s;wɪs
lohse;l @U s;loʊs
deltaic;d E l t eI i k;dɛlt?ik
stranded;s t r\ { n d @ d;stɹændəd
credence;k r\ i: d @ n s;kɹiːdəns
wobbe;w A b;wɑb
rays;r\ eI z;ɹ?z
grapes;g r\ eI p s;gɹ?ps
bukavu's;b u k A v u z;bukɑvuz
pechman;p E k m @ n;pɛkmən
wizards;w I z 3:r d z;wɪzɜ:rdz
additions;@ d I S @ n z;ədɪʃənz
rutgard;r\ V t g A r\ d;ɹʌtgɑɹd
sweeps;s w i: p s;swiːps
criminologists;k r\ I m i n A l @ dZ i s t s;kɹɪminɑlə?ists
digitally;d I dZ @ 4 @ l i:;dɪ?əɾəliː
windish;w I n d i S;wɪndiʃ
technologists(3);t E k n A l @ dZ i s;tɛknɑlə?is
creviston;k r\ E v i s t A n;kɹɛvistɑn
gerontologist;dZ E r\ @ n t A l @ dZ i s t;?ɛɹəntɑlə?ist
hixon;h I k s @ n;hɪksən
pealer;p i: l 3:r;piːlɜ:r
kelvin(2);k E l v i n;kɛlvin
internacional;I n t 3:r n { S @ n @ l;ɪntɜ:rnæʃənəl
brasseur;b r\ { s 3:r;bɹæsɜ:r
iranian;i r\ A n i: @ n;iɹɑniːən
millican;m I l i k @ n;mɪlikən
lectured;l E k tS 3:r d;lɛk?ɜ:rd
bliley;b l aI l i:;bl?liː
wilkins;w I l k i n z;wɪlkinz
travels;t r\ { v @ l z;tɹævəlz
saxons;s { k s @ n z;sæksənz
sleepwalker;s l i: p w O: k 3:r;sliːpwOːkɜ:r
piecuch;p i: k @ k;piːkək
rotman;r\ A t m @ n;ɹɑtmən
anson;{ n s @ n;ænsən
arab(2);E r\ @ b;ɛɹəb
tuesday(3);t j u z d eI;tjuzd?
delano;d i l A n @U;dilɑnoʊ
holes;h @U l z;hoʊlz
environmentally;i n v aI r\ @ n m E n t @ l i:;inv?ɹənmɛntəliː
musavi;m j u s A v i:;mjusɑviː
polarity;p @U l E r\ @ 4 i:;poʊlɛɹəɾiː
horde;h O: r\ d;hOːɹd
hayward;h eI w 3:r d;h?wɜ:rd
unelectable;V n i l E k t @ b @ l;ʌnilɛktəbəl
mcdevitt;m @ k d E v @ t;məkdɛvət
lapier;l eI p i: 3:r;l?piːɜ:r
coasts;k @U s t s;koʊsts
exporters;i k s p O: r\ 4 3:r z;ikspOːɹɾɜ:rz
ad-lib;{ d l I b;ædlɪb
gyp;dZ I p;?ɪp
f's;E f s;ɛfs
bratt;b r\ { t;bɹæt
medusa;m @ d u s @;mədusə
portfolio's;p O: r\ t f @U l i: @U z;pOːɹtfoʊliːoʊz
footnoting;f U t n @U 4 i N;fʊtnoʊɾiŋ
imari;i m A r\ i:;imɑɹiː
placements;p l eI s m @ n t s;pl?smənts
swiftest;s w I f t @ s t;swɪftəst
accompany;@ k V m p @ n i:;əkʌmpəniː
underrate;@ n d 3:r r\ eI t;əndɜ:rɹ?t
sophomoric;s A f @U m A r\ i k;sɑfoʊmɑɹik
quinto;k w I n t @U;kwɪntoʊ
brister;b r\ I s t 3:r;bɹɪstɜ:r
muffle;m V f @ l;mʌfəl
slid;s l I d;slɪd
miraculously;m 3:r { k j @ l @ s l i:;mɜ:rækjələsliː
messenger(2);m E s i n dZ 3:r;mɛsin?ɜ:r
senile;s i: n aI l;siːn?l
respects(4);r\ i: s p E k s;ɹiːspɛks
diefenderfer;d i: f i n d 3:r f 3:r;diːfindɜ:rfɜ:r
subject;s @ b dZ E k t;səb?ɛkt
suprenant;s u p r\ eI n @ n t;supɹ?nənt
cardinal(2);k A r\ d i n @ l;kɑɹdinəl
plaudit;p l O: 4 i t;plOːɾit
paetz;p i: t s;piːts
neice;n i: s;niːs
counterproposals;k aU n t 3:r p r\ @ p @U z @ l z;k?ntɜ:rpɹəpoʊzəlz
existential(2);E k s I s t E n S @ l;ɛksɪstɛnʃəl
educating(2);E dZ j u k eI 4 i N;ɛ?juk?ɾiŋ
steen;s t i: n;stiːn
mangus;m { N g i s;mæŋgis
stretcher;s t r\ E tS 3:r;stɹɛ?ɜ:r
foxworthy;f A k s w 3:r D i:;fɑkswɜ:rðiː
kimono;k @ m @U n @;kəmoʊnə
zobel;z @U b @ l;zoʊbəl
du;d u;du
frightful;f r\ aI t f @ l;fɹ?tfəl
edmonda;E d m A n d @;ɛdmɑndə
skolnick;s k @U l n i k;skoʊlnik
yarmulke;j A r\ m V l k @;jɑɹmʌlkə
macon;m eI k @ n;m?kən
dorea;d O: r\ i: @;dOːɹiːə
instrumentalists(2);I n s t r\ @ m E n t @ l i s s;ɪnstɹəmɛntəliss
kreitz;k r\ i: t s;kɹiːts
bolshoi's;b @U l S OI z;boʊlʃ?z
crest;k r\ E s t;kɹɛst
carve;k A r\ v;kɑɹv
scheffel;S E f @ l;ʃɛfəl
misinterpreting;m i s i n t 3:r p r\ @ 4 i N;misintɜ:rpɹəɾiŋ
werder;w 3:r 4 3:r;wɜ:rɾɜ:r
vindicated;v I n d @ k eI 4 i d;vɪndək?ɾid
iowa's;aI @ w @ z;?əwəz
hower;h aU 3:r;h?ɜ:r
streety;s t r\ i: 4 i:;stɹiːɾiː
mcdougals';m @ k d u g @ l z;məkdugəlz
annandale;{ n @ n d eI l;ænənd?l
filch;f I l tS;fɪl?
potter's;p A 4 3:r z;pɑɾɜ:rz
zeroes(2);z i: r\ @U z;ziːɹoʊz
biegler(2);b i: g l 3:r;biːglɜ:r
vanhyning;v { n h aI n i N;vænh?niŋ
leabo;l i: b @U;liːboʊ
pedroso;p eI d r\ @U s @U;p?dɹoʊsoʊ
ducker;d V k 3:r;dʌkɜ:r
lamonte;l A m A n t;lɑmɑnt
interventionist(2);I n 3:r v E n S @ n i s t;ɪnɜ:rvɛnʃənist
dynamical;d aI n { m i k @ l;d?næmikəl
heckuva;h E k j u v @;hɛkjuvə
eruption;i r\ V p S @ n;iɹʌpʃən
i'm;aI m;?m
adding;{ 4 i N;æɾiŋ
sickel;s I k @ l;sɪkəl
orchestra;O: r\ k @ s t r\ @;Oːɹkəstɹə
isay;aI s eI;?s?
supplementary(2);s V p l @ m E n 3:r i:;sʌpləmɛnɜ:riː
baboons(2);b @ b u n z;bəbunz
barron's;b { r\ @ n z;bæɹənz
curreri;k U r\ E r\ i:;kʊɹɛɹiː
slinker;s l I N k 3:r;slɪŋkɜ:r
piver;p aI v 3:r;p?vɜ:r
mctavish;m @ k t eI v i S;məkt?viʃ
whisenhunt(2);h w aI z @ n h V n t;hw?zənhʌnt
seaworthy;s i: w O: r\ D i:;siːwOːɹðiː
inserra;i n s E r\ @;insɛɹə
amicus;@ m i: k @ s;əmiːkəs
resists(4);r\ i: z I s s;ɹiːzɪss
proficiency;p r\ @ f I S @ n s i:;pɹəfɪʃənsiː
raditz;r\ eI 4 i t s;ɹ?ɾits
mobile;m @U b @ l;moʊbəl
particles;p A r\ 4 @ k @ l z;pɑɹɾəkəlz
barbanel;b A r\ b @ n @ l;bɑɹbənəl
benetton's(2);b E n @ t O: n z;bɛnətOːnz
kerr;k 3:r;kɜ:r
nonpacifists(3);n A n p { s i f i s;nɑnpæsifis
bayside;b eI s aI d;b?s?d
inured;i n j U r\ d;injʊɹd
agents';eI dZ @ n t s;??ənts
analysts;{ n @ l @ s t s;ænələsts
deceitful;d @ s i: t f @ l;dəsiːtfəl
boccuzzi;b @U k u t s i:;boʊkutsiː
schmead;S m i: d;ʃmiːd
tessler;t E s l 3:r;tɛslɜ:r
thornley;T O: r\ n l i:;θOːɹnliː
fajardo;f A j A r\ 4 @U;fɑjɑɹɾoʊ
buechele;b j u k @ l;bjukəl
galeano;g A l i: n @U;gɑliːnoʊ
pod;p A d;pɑd
engined;E n dZ @ n d;ɛn?ənd
honored;A n 3:r d;ɑnɜ:rd
abril;@ b r\ I l;əbɹɪl
danowski;d @ n O: f s k i:;dənOːfskiː
retracing;r\ i: t r\ eI s i N;ɹiːtɹ?siŋ
heisbourg;h aI s b O: r\ g;h?sbOːɹg
vigue;v i: g;viːg
byron's;b aI r\ @ n z;b?ɹənz
dicola;d i k @U l @;dikoʊlə
pelissier;p E l i s i: 3:r;pɛlisiːɜ:r
hinkle;h I N k @ l;hɪŋkəl
stratocaster;s t r\ { 4 @U k { s t 3:r;stɹæɾoʊkæstɜ:r
katashiba;k { 4 @ S i: b @;kæɾəʃiːbə
caleca;k A l E k @;kɑlɛkə
jamieson;dZ eI m i s @ n;??misən
disabuse(2);d i s @ b j u z;disəbjuz
mcleod;m @ k l aU d;məkl?d
samaniego;s A m A n i: g @U;sɑmɑniːgoʊ
inventors;i n v E n t 3:r z;invɛntɜ:rz
environmental(2);i n v aI r\ @ n m E n @ l;inv?ɹənmɛnəl
shalala;S @ l eI l @;ʃəl?lə
prugh;p r\ u;pɹu
demisch;d @ m I S;dəmɪʃ
reflected;r\ @ f l E k t @ d;ɹəflɛktəd
bloodstains;b l V d s t eI n z;blʌdst?nz
dost;d A s t;dɑst
peddled;p E 4 @ l d;pɛɾəld
scarpino;s k A r\ p i: n @U;skɑɹpiːnoʊ
curacao;k j U r\ @ s aU;kjʊɹəs?
geodesic;dZ i: @ d E s i k;?iːədɛsik
dade;d eI d;d?d
rascal;r\ { s k @ l;ɹæskəl
prody;p @U 4 i:;poʊɾiː
kika;k I k @;kɪkə
daman;d eI m @ n;d?mən
choke;tS @U k;?oʊk
wessinger;w E s i n dZ 3:r;wɛsin?ɜ:r
sposito;s p @U s i: 4 @U;spoʊsiːɾoʊ
lopata;l @U p A 4 @;loʊpɑɾə
urine(2);j U r\ @ n;jʊɹən
haring;h E r\ i N;hɛɹiŋ
nationair;n eI S @ n E r\;n?ʃənɛɹ
medellin;m i d E l i n;midɛlin
sweetest;s w i: 4 @ s t;swiːɾəst
kosakowski;k @ s @ k O: f s k i:;kəsəkOːfskiː
starlit;s t A r\ l i t;stɑɹlit
william;w I l j @ m;wɪljəm
genera;dZ E n 3:r @;?ɛnɜ:rə
qualification;k w A l @ f @ k eI S @ n;kwɑləfək?ʃən
ryen;r\ aI @ n;ɹ?ən
smote;s m @U t;smoʊt
forsythia(2);f O: r\ s I D i: @;fOːɹsɪðiːə
squabbles;s k w A b @ l z;skwɑbəlz
guardrails;g A r\ d r\ eI l z;gɑɹdɹ?lz
bey;b eI;b?
mcnerney;m @ k n 3:r n i:;məknɜ:rniː
screwed;s k r\ u d;skɹud
triad's;t r\ aI { d z;tɹ?ædz
specimen;s p E s @ m @ n;spɛsəmən
fragrances;f r\ eI g r\ @ n s @ z;fɹ?gɹənsəz
vendetta;v E n d E 4 @;vɛndɛɾə
ratepayer;r\ eI t p eI 3:r;ɹ?tp?ɜ:r
lunacy;l u n @ s i:;lunəsiː
bierbaum;b I r\ b aU m;bɪɹb?m
mae;m eI;m?
hoshaw;h A S O:;hɑʃOː
direction(2);d i r\ E k S i n;diɹɛkʃin
woolverton;w U l v 3:r t @ n;wʊlvɜ:rtən
hobbles;h A b @ l z;hɑbəlz
murdoch's;m 3:r 4 A k s;mɜ:rɾɑks
hughey(3);j u i:;juiː
tokkin;t A k i n;tɑkin
sternhagen;s t 3:r n h @ g @ n;stɜ:rnhəgən
simonin;s I m @ n i n;sɪmənin
nantes;n { n t s;nænts
bedell;b E 4 @ l;bɛɾəl
klich;k l I tS;klɪ?
wessling;w E s @ l i N;wɛsəliŋ
hershberger;h 3:r S b 3:r g 3:r;hɜ:rʃbɜ:rgɜ:r
clerk;k l 3:r k;klɜ:rk
couplings;k V p l i N z;kʌpliŋz
hussar;h V s 3:r;hʌsɜ:r
hemlock;h E m l A k;hɛmlɑk
dornin;d O: n i n;dOːnin
competes;k @ m p i: t s;kəmpiːts
elvira;E l v aI r\ @;ɛlv?ɹə
hawkish;h O: k i S;hOːkiʃ
sherbert;S 3:r b 3:r t;ʃɜ:rbɜ:rt
obregon;A b r\ i g @ n;ɑbɹigən
arbitrator;A r\ b i t r\ eI 4 3:r;ɑɹbitɹ?ɾɜ:r
haut;h O: t;hOːt
schram;S r\ { m;ʃɹæm
brok;b r\ A k;bɹɑk
radermacher;r\ { 4 3:r m @ k 3:r;ɹæɾɜ:rməkɜ:r
however;h aU E v 3:r;h?ɛvɜ:r
rooter;r\ u 4 3:r;ɹuɾɜ:r
fondling;f A n d @ l i N;fɑndəliŋ
reining;r\ eI n i N;ɹ?niŋ
diede;d i: d;diːd
cremer;k r\ i: m 3:r;kɹiːmɜ:r
mcdaid;m @ k d eI d;məkd?d
reagor;r\ i: g 3:r;ɹiːgɜ:r
glorious;g l O: r\ i: @ s;glOːɹiːəs
dereliction;d E r\ @ l I k S @ n;dɛɹəlɪkʃən
frate;f r\ eI t;fɹ?t
buga(2);b i: j u dZ i: eI;biːju?iː?
houghton's;h O: t @ n z;hOːtənz
rottman;r\ A t m @ n;ɹɑtmən
siderographer;s aI 4 3:r O: g r\ @ f 3:r;s?ɾɜ:rOːgɹəfɜ:r
satirizes;s { 4 3:r aI z i z;sæɾɜ:r?ziz
brother;b r\ V D 3:r;bɹʌðɜ:r
pluribus;p l U r\ i b @ s;plʊɹibəs
mandeville;m { n d @ v I l;mændəvɪl
schaufler(2);S aU f l 3:r;ʃ?flɜ:r
posners(2);p O: z n 3:r z;pOːznɜ:rz
stabilize;s t eI b @ l aI z;st?bəl?z
cummiskey;k V m i s k i:;kʌmiskiː
penciled;p E n s @ l d;pɛnsəld
fenelon;f E n i l A n;fɛnilɑn
